Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
302.0,2023-12-13 14:00:00,15.4,1,28.0,78.0,139.0,44t
303.0,2023-12-13 15:00:00,16.9,1,27.0,83.0,175.0,44t
304.0,2023-12-13 16:00:00,17.3,1,26.0,89.0,139.0,44t
305.0,2023-12-13 17:00:00,16.1,1,27.0,88.0,106.0,44t
306.0,2023-12-13 18:00:00,12.9,1,27.0,88.0,131.0,44t
307.0,2023-12-13 19:00:00,13.3,1,27.0,82.0,129.0,44t
308.0,2023-12-13 20:00:00,14.5,1,28.0,77.0,230.0,44t
309.0,2023-12-13 21:00:00,14.7,1,28.0,79.0,159.0,44t
310.0,2023-12-13 22:00:00,14.5,0,26.0,87.0,183.0,44t
311.0,2023-12-13 23:00:00,12.6,1,25.0,92.0,98.0,44t
312.0,2023-12-14 00:00:00,13.5,1,25.0,92.0,101.0,44t
313.0,2023-12-14 01:00:00,23.2,1,25.0,95.0,109.0,44t
314.0,2023-12-14 02:00:00,15.8,1,26.0,85.0,165.0,44t
315.0,2023-12-14 03:00:00,10.5,1,28.0,77.0,190.0,44t
316.0,2023-12-14 04:00:00,13.2,1,28.0,77.0,164.0,44t
317.0,2023-12-14 05:00:00,13.7,1,28.0,77.0,158.0,44t
318.0,2023-12-14 06:00:00,11.1,1,28.0,77.0,185.0,44t
319.0,2023-12-14 07:00:00,12.0,1,28.0,81.0,136.0,44t
320.0,2023-12-14 08:00:00,13.2,1,27.0,87.0,128.0,44t
321.0,2023-12-14 09:00:00,11.1,1,28.0,81.0,186.0,44t
322.0,2023-12-14 10:00:00,11.8,1,30.0,73.0,170.0,44t
323.0,2023-12-14 11:00:00,9.0,1,30.0,67.0,202.0,44t
324.0,2023-12-14 12:00:00,8.9,1,30.0,67.0,164.0,44t
325.0,2023-12-14 13:00:00,11.5,1,30.0,70.0,147.0,44t
326.0,2023-12-14 14:00:00,10.6,1,29.0,72.0,173.0,44t
327.0,2023-12-14 15:00:00,16.1,1,28.0,79.0,158.0,44t
328.0,2023-12-14 16:00:00,15.9,1,27.0,88.0,178.0,44t
329.0,2023-12-14 17:00:00,17.4,1,27.0,86.0,146.0,44t
330.0,2023-12-14 18:00:00,18.9,1,27.0,85.0,154.0,44t
331.0,2023-12-14 19:00:00,15.4,1,27.0,88.0,183.0,44t
332.0,2023-12-14 20:00:00,14.5,1,27.0,86.0,158.0,44t
333.0,2023-12-14 21:00:00,14.3,1,27.0,87.0,128.0,44t
334.0,2023-12-14 22:00:00,16.4,1,27.0,86.0,158.0,44t
335.0,2023-12-14 23:00:00,17.7,1,27.0,85.0,149.0,44t
336.0,2023-12-15 00:00:00,13.4,1,27.0,86.0,131.0,44t
337.0,2023-12-15 01:00:00,10.7,1,27.0,88.0,145.0,44t
338.0,2023-12-15 02:00:00,11.4,1,27.0,86.0,140.0,44t
339.0,2023-12-15 03:00:00,12.2,1,27.0,88.0,142.0,44t
340.0,2023-12-15 04:00:00,12.1,1,26.0,91.0,144.0,44t
341.0,2023-12-15 05:00:00,10.8,0,25.0,98.0,141.0,44t
342.0,2023-12-15 06:00:00,11.2,1,26.0,91.0,178.0,44t
343.0,2023-12-15 07:00:00,10.0,1,25.0,98.0,96.0,44t
344.0,2023-12-15 08:00:00,12.0,1,26.0,96.0,110.0,44t
345.0,2023-12-15 09:00:00,11.1,1,28.0,83.0,162.0,44t
346.0,2023-12-15 10:00:00,12.7,1,28.0,83.0,215.0,44t
347.0,2023-12-15 11:00:00,16.5,1,26.0,93.0,218.0,44t
348.0,2023-12-15 12:00:00,14.6,1,26.0,93.0,139.0,44t
349.0,2023-12-15 13:00:00,13.8,1,27.0,85.0,145.0,44t
350.0,2023-12-15 14:00:00,12.9,1,28.0,81.0,135.0,44t
351.0,2023-12-15 15:00:00,14.3,1,28.0,79.0,133.0,44t
352.0,2023-12-15 16:00:00,12.1,1,28.0,82.0,108.0,44t
353.0,2023-12-15 17:00:00,13.3,1,28.0,83.0,134.0,44t
354.0,2023-12-15 18:00:00,11.7,1,27.0,92.0,116.0,44t
355.0,2023-12-15 19:00:00,15.8,0,26.0,91.0,109.0,44t
356.0,2023-12-15 20:00:00,18.2,0,26.0,92.0,107.0,44t
357.0,2023-12-15 21:00:00,22.7,0,26.0,94.0,113.0,44t
358.0,2023-12-15 22:00:00,18.1,1,27.0,85.0,139.0,44t
359.0,2023-12-15 23:00:00,15.9,1,27.0,82.0,131.0,44t
360.0,2023-12-16 00:00:00,17.6,1,27.0,81.0,131.0,44t
